trailer,genre,likes_this_genre,sd_ratio,valence,arousal,will_watch,cat_will_watch,already_watched_trailer,already_watched_film
7,drama,1,2.085396054744164,7,7,0.8,1,1,0
8,drama,1,1.9446883367571548,3,3,0.0,0,0,0
9,drama,1,1.684834048537299,4,7,0.7,1,0,0
10,history,1,2.0377290945422355,4,4,0.0,0,0,0
11,history,1,2.4107833002432666,7,6,0.4,0,0,0
12,history,1,1.365149772843255,5,4,0.0,0,0,0
16,romance,1,1.8219888796058945,4,7,0.6,1,1,0
17,romance,1,2.2379235804090936,4,3,0.0,0,0,0
18,romance,1,2.0916901303155933,7,6,0.6,1,0,0
7,drama,-1,3.314792221252276,2,7,0.8,1,0,0
8,drama,-1,3.382038400938168,5,5,0.0,0,0,0
9,drama,-1,3.934882605141363,1,6,0.8,1,0,0
10,history,-1,2.542215090127008,6,6,0.6,1,0,0
11,history,-1,2.432423781719225,4,3,0.6,1,0,0
12,history,-1,2.871754425743985,9,9,0.7,1,0,0
16,romance,-1,3.1195544200165664,3,4,0.4,0,0,0
17,romance,-1,3.577723994303929,5,1,0.0,0,0,0
18,romance,-1,2.608239746940145,7,7,0.7,1,0,0
7,drama,0,3.287628785687249,7,8,0.8,1,0,0
8,drama,0,3.1955399190351934,6,5,0.5,1,0,0
9,drama,0,3.913504826275021,3,7,0.4,0,0,0
10,history,-1,2.15752175183406,9,7,0.8,1,0,0
11,history,-1,4.099244127018325,7,3,0.3,0,0,0
12,history,-1,2.384731214150025,6,5,0.6,1,0,0
16,romance,-1,1.926311011484524,8,8,0.9,1,0,0
17,romance,-1,2.4678486438712297,6,6,0.8,1,0,0
18,romance,-1,4.931154838647855,5,3,0.1,0,0,0
7,drama,0,3.271916887564652,6,6,0.1,0,0,0
8,drama,0,3.7103914977160817,5,6,0.1,0,0,0
9,drama,0,3.1547144904989386,4,5,0.1,0,0,0
10,history,-1,3.039308839172065,7,7,0.0,0,0,0
11,history,-1,4.230131407363411,7,3,0.1,0,0,0
12,history,-1,3.908177625998449,5,7,0.0,0,0,0
16,romance,0,3.16633688542958,2,5,0.2,0,0,0
17,romance,0,2.648452156937225,5,5,0.0,0,0,0
18,romance,0,2.8168441727409297,5,8,0.2,0,0,0
7,drama,0,3.622512456060446,7,7,0.8,1,0,0
8,drama,0,4.262503518649978,5,5,0.2,0,0,0
9,drama,0,4.494397634694129,4,4,0.7,1,0,0
10,history,0,3.9823893397492194,5,4,0.3,0,0,0
11,history,0,4.536481649676754,8,3,0.4,0,0,0
12,history,0,4.320692880821478,5,5,0.3,0,0,0
16,romance,0,3.268599047902784,7,7,0.7,1,0,0
17,romance,0,3.4447412043874626,7,5,0.8,1,0,0
18,romance,0,4.999257073522874,7,6,0.4,0,0,0
7,drama,-1,2.5882698852114974,7,4,0.7,1,0,0
8,drama,-1,2.9010081429799306,3,2,0.2,0,0,0
9,drama,-1,3.0710520154072314,2,2,0.1,0,0,0
10,history,1,2.239568933087151,8,7,0.7,1,0,0
11,history,1,2.8441050443481424,1,1,0.0,0,0,0
12,history,1,2.184793490370884,2,5,0.3,0,0,0
16,romance,-1,2.561852036739636,2,1,0.1,0,0,0
17,romance,-1,2.222430542769591,5,5,0.4,0,0,0
18,romance,-1,2.568431176897324,1,2,0.1,0,0,0
7,drama,1,3.832204114634157,2,3,1.0,1,1,1
8,drama,1,3.218124027005267,2,6,0.0,0,0,0
9,drama,1,3.497764678864807,1,7,0.2,0,1,0
10,history,0,3.622038428231345,2,7,0.0,0,0,0
11,history,0,3.3040709709299985,6,2,0.0,0,0,0
12,history,0,3.431897527733075,2,3,0.0,0,0,0
16,romance,0,3.4588055916865104,5,7,0.0,0,0,0
17,romance,0,4.02797823762643,2,2,0.0,0,0,0
18,romance,0,3.9394877197074143,3,4,0.1,0,0,0
7,drama,0,2.817378470219667,3,6,0.9,1,0,0
8,drama,0,3.256813071519076,4,3,0.2,0,0,0
9,drama,0,3.901388889509027,6,8,0.8,1,0,0
10,history,1,2.807499568690371,7,6,0.6,1,1,0
11,history,1,2.930933435455956,8,3,0.8,1,0,0
12,history,1,3.2803248488110537,8,9,0.8,1,0,0
16,romance,-1,4.255620508310733,7,2,0.1,0,0,0
17,romance,-1,3.679457385019211,7,4,0.1,0,0,0
18,romance,-1,3.200243102754797,7,8,0.6,1,0,0
7,drama,1,1.6384821373273262,6,7,0.8,1,0,0
8,drama,1,1.6109953814346298,4,3,0.6,1,0,0
9,drama,1,1.0330948433478122,4,5,0.8,1,0,0
10,history,0,1.4348225200593658,5,4,0.3,0,0,0
11,history,0,1.3940379416703357,7,4,0.6,1,0,0
12,history,0,1.9003670436542148,5,3,0.2,0,0,0
16,romance,1,1.6720809908900969,9,7,1.0,1,1,0
17,romance,1,1.593027839109068,9,9,1.0,1,0,0
18,romance,1,1.6582735829318958,5,3,0.5,1,0,0
7,drama,0,2.337879377514501,2,4,0.2,0,0,0
8,drama,0,2.3994576029669727,3,3,0.1,0,0,0
9,drama,0,1.931540758467147,4,3,0.2,0,0,0
10,history,0,2.483803813352668,7,6,0.3,0,0,0
11,history,0,3.0931674232704807,7,4,0.1,0,0,0
12,history,0,3.030241901336973,7,6,0.4,0,0,0
16,romance,-1,3.645426107252126,5,4,0.1,0,0,0
17,romance,-1,2.852148332955861,6,3,0.1,0,0,0
18,romance,-1,2.838703460828345,4,5,0.1,0,0,0
7,drama,-1,2.1060416644240383,5,7,0.7,1,0,0
8,drama,-1,2.186250458207648,5,4,0.1,0,0,0
9,drama,-1,2.6209259228948274,3,8,0.9,1,0,0
10,history,0,2.499768004473,5,4,0.0,0,0,0
11,history,0,2.100948690848805,5,3,0.1,0,0,0
12,history,0,2.770897466347116,7,6,0.9,1,0,0
16,romance,1,2.435784023813864,4,6,0.6,1,0,0
17,romance,1,2.11390034072281,7,6,0.5,1,0,0
18,romance,1,1.8606676896391048,5,6,0.4,0,0,0
7,drama,1,2.2715632692830208,4,5,1.0,1,0,0
8,drama,1,1.908604998798315,5,2,0.0,0,0,0
9,drama,1,1.8997113996668047,2,1,1.0,1,0,0
10,history,1,1.831864220067437,7,6,0.3,0,0,0
11,history,1,1.8356977697365493,5,1,1.0,1,0,0
12,history,1,2.6373461965883087,6,6,0.7,1,0,0
16,romance,1,1.1164147621127647,5,3,0.9,1,0,0
17,romance,1,2.069481820778232,8,7,0.5,1,0,0
18,romance,1,1.839412447893373,5,2,0.1,0,0,0
7,drama,0,1.6411391768389925,3,2,0.3,0,0,0
8,drama,0,1.5180194331533097,4,6,0.9,1,0,0
9,drama,0,1.475565862476002,2,6,0.8,1,0,0
10,history,-1,1.3987900660312726,7,2,0.0,0,0,0
11,history,-1,1.3481254015838071,8,1,0.3,0,0,0
12,history,-1,1.897792421424694,7,9,1.0,1,0,0
16,romance,1,1.5567317865996146,8,5,1.0,1,0,0
17,romance,1,1.5595546120673287,9,1,1.0,1,0,0
18,romance,1,1.3554364117374904,3,4,0.0,0,0,0
7,drama,-1,2.463889594596691,5,2,0.9,1,0,0
8,drama,-1,2.5790788246081147,5,1,0.4,0,0,0
9,drama,-1,2.204741526847782,3,2,0.3,0,0,0
10,history,0,2.165700690342798,9,4,0.7,1,0,0
11,history,0,1.9483307825665632,5,1,0.1,0,0,0
12,history,0,1.1638474759170645,6,1,0.8,1,0,0
16,romance,-1,1.6566402347713889,5,1,0.0,0,0,0
17,romance,-1,2.297117505918466,5,1,0.0,0,0,0
18,romance,-1,2.400713058618621,5,1,0.1,0,0,0
7,drama,0,2.396622183214567,3,7,0.7,1,0,0
8,drama,0,2.4706587770808066,4,5,0.3,0,0,0
9,drama,0,2.6116998086082863,3,4,0.7,1,0,0
10,history,1,2.347654293342788,5,5,0.2,0,0,0
11,history,1,2.691818264532857,7,3,0.6,1,0,0
12,history,1,3.498636067887298,6,2,0.4,0,0,0
16,romance,1,2.40397621344837,7,3,0.6,1,0,0
17,romance,1,2.4472524461618264,7,3,0.6,1,0,0
18,romance,1,2.507042913571177,5,5,0.3,0,0,0
7,drama,0,1.807617408117278,7,7,0.7,1,0,0
8,drama,0,2.4651669920788613,4,2,0.3,0,0,0
9,drama,0,2.277273733837014,3,1,0.1,0,0,0
10,history,-1,2.014902373658109,7,8,0.9,1,0,0
